Title,Author,genres
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,Adventure; Audiobook; Childrens; Classics; Fantasy; Fiction; Magic; Middle Grade; Science Fiction Fantasy; Young Adult
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,Adventure; Audiobook; Childrens; Classics; Fantasy; Fiction; Magic; Middle Grade; Science Fiction Fantasy; Young Adult
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,Adventure; Audiobook; Childrens; Classics; Fantasy; Fiction; Magic; Middle Grade; Science Fiction Fantasy; Young Adult
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,Adventure; Audiobook; Childrens; Classics; Fantasy; Fiction; Magic; Middle Grade; Science Fiction Fantasy; Young Adult
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,Adventure; Childrens; Fantasy; Fiction; Magic; Middle Grade; Mystery; Paranormal; Supernatural; Young Adult
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,Fiction
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,Adventure; Childrens; Classics; Fantasy; Fiction; Magic; Novels; Paranormal; Science Fiction Fantasy; Wizards; Young Adult
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Adventure; British Literature; Classics; Comedy; European Literature; Fantasy; Fiction; Humor; Novels; Science Fiction; Science Fiction Fantasy
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Adventure; British Literature; Classics; Comedy; European Literature; Fantasy; Fiction; Humor; Novels; Science Fiction; Science Fiction Fantasy
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,Adventure; Audiobook; Classics; Comedy; Fantasy; Fiction; Humor; Novels; Science Fiction; Science Fiction Fantasy
